"time","bottom_temp","sst","sss","zeta","dist_shore_km","dist_OC_km","dist_200m_km","dist_MO_km","dist_RTWB_km","dist_NB_km","depth_m"
2014-12-22,10.8097887039185,9.52284908294678,33.1689567565918,-0.211845755577087,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-12-23,10.6520872116089,9.82574558258057,33.2150230407715,-0.10155139118433,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-12-24,9.50753593444824,10.5607442855835,33.5605583190918,-0.0910786986351013,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-12-25,9.49485301971436,10.4905672073364,33.3764991760254,-0.1592156291008,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-12-26,9.62408542633057,10.2242612838745,33.3949089050293,-0.365472882986069,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-12-27,9.82781505584717,10.2043180465698,33.2752799987793,-0.310258746147156,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-12-28,9.95077514648438,10.0153198242188,33.1712455749512,-0.210525512695312,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-12-29,10.0821485519409,9.91360187530518,33.0257911682129,-0.209750413894653,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-12-30,10.5958995819092,10.3258085250854,33.3835105895996,-0.203142359852791,48.7,50.2,55.9,22.4,12.2,23.9,34
2014-12-31,10.4626960754395,10.3639345169067,33.4675559997559,-0.631645798683167,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-01-01,10.5780696868896,10.0683898925781,33.512077331543,-0.259737968444824,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-01-02,10.436972618103,9.54822063446045,33.4465141296387,-0.403380870819092,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-01-03,10.5328378677368,9.13487911224365,33.2768058776855,-0.363612771034241,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-01-04,10.565806388855,9.11205577850342,33.1870994567871,-0.184105515480042,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-01-05,11.1088304519653,9.09854125976562,32.6430168151855,-0.380118370056152,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-01-06,11.3198480606079,8.87460994720459,32.5888633728027,-0.412269443273544,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-01-07,11.5314445495605,8.74267673492432,32.5595970153809,-0.363198310136795,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-01-08,11.3523988723755,8.97322750091553,32.9517021179199,-0.46197572350502,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-01-09,11.2640562057495,8.87873458862305,33.0703468322754,-0.390674859285355,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-01-10,10.2546396255493,8.74136734008789,33.2610664367676,-0.528038203716278,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-01-11,10.1489200592041,7.94708108901978,33.5526695251465,-0.505945980548859,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-01-12,10.1259460449219,8.04487133026123,33.5536727905273,-0.344397068023682,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-01-13,9.9702844619751,8.19024276733398,33.5271301269531,-0.348956853151321,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-01-14,9.11228561401367,8.85390377044678,33.7636756896973,-0.164177730679512,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-01-15,8.73158073425293,8.70905208587646,33.7487907409668,-0.17020358145237,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-01-16,8.79242420196533,8.65051078796387,33.7789192199707,-0.289875209331512,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-01-17,8.51984310150146,8.28001594543457,33.7672233581543,-0.416883617639542,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-01-18,8.24938488006592,8.21106433868408,33.7453498840332,-0.250163793563843,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-01-19,8.30402278900146,7.86299085617065,33.5810203552246,-0.277121514081955,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-01-20,8.4512529373169,7.84811592102051,33.6992530822754,-0.336766868829727,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-01-21,8.61321926116943,8.01921844482422,33.7880516052246,-0.330724328756332,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-01-22,8.53738117218018,7.99309396743774,33.7923164367676,-0.309404462575912,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-01-23,7.91277456283569,7.69989013671875,33.7053070068359,-0.26915517449379,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-01-24,7.75535249710083,7.4021143913269,33.6750221252441,-0.0735451057553291,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-01-25,7.81305265426636,7.30925798416138,33.7366409301758,-0.264384359121323,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-01-26,7.41907119750977,6.59489059448242,33.7705574035645,-0.047295194119215,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-01-27,6.80796766281128,6.78333806991577,33.8477058410645,0.143844813108444,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-01-28,6.76702117919922,6.72988843917847,33.754451751709,-0.0638983771204948,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-01-29,6.40458869934082,6.40445947647095,33.732364654541,-0.211742356419563,48.7,50.2,55.9,22.4,12.2,23.9,34
2015-01-30,6.48823165893555,6.40944528579712,33.7372436523438,-0.149551466107368,48.7,50.2,55.9,22.4,12.2,23.9,34
