"time","bottom_temp","sst","sss","zeta","dist_shore_km","dist_OC_km","dist_200m_km","dist_MO_km","dist_RTWB_km","dist_NB_km","depth_m"
2017-10-09,16.764497756958,22.1569042205811,31.3756351470947,-0.0203327052295208,36,37.6,67.9,10.4,0.7,17.8,32
2017-10-10,16.2208480834961,22.3866863250732,31.374382019043,-0.0614320933818817,36,37.6,67.9,10.4,0.7,17.8,32
2017-10-11,15.8977556228638,22.3831653594971,31.3956909179688,-0.0241782274097204,36,37.6,67.9,10.4,0.7,17.8,32
2017-10-12,18.0533428192139,20.9172916412354,31.3921432495117,0.233594372868538,36,37.6,67.9,10.4,0.7,17.8,32
2017-10-13,19.4914417266846,20.0850048065186,31.578031539917,0.206961095333099,36,37.6,67.9,10.4,0.7,17.8,32
2017-10-14,19.9125499725342,20.0627384185791,31.5932559967041,0.0837773084640503,36,37.6,67.9,10.4,0.7,17.8,32
2017-10-15,19.1645393371582,20.0692138671875,31.5767059326172,0.0149149065837264,36,37.6,67.9,10.4,0.7,17.8,32
2017-10-16,18.9248828887939,20.3802280426025,31.324068069458,-0.0662213936448097,36,37.6,67.9,10.4,0.7,17.8,32
2017-10-17,18.8512802124023,19.4415321350098,31.6137847900391,-0.116460889577866,36,37.6,67.9,10.4,0.7,17.8,32
2017-10-18,19.2098159790039,19.6917133331299,31.6726665496826,-0.0899136736989021,36,37.6,67.9,10.4,0.7,17.8,32
2017-10-19,19.127950668335,19.6534099578857,31.6651096343994,-0.132362648844719,36,37.6,67.9,10.4,0.7,17.8,32
2017-10-20,18.8868198394775,19.630542755127,31.6316833496094,-0.186829328536987,36,37.6,67.9,10.4,0.7,17.8,32
2017-10-21,17.837043762207,19.2765293121338,31.7913913726807,-0.163270726799965,36,37.6,67.9,10.4,0.7,17.8,32
2017-10-22,17.7834987640381,19.2390365600586,31.8291149139404,-0.148882478475571,36,37.6,67.9,10.4,0.7,17.8,32
2017-10-23,17.8415336608887,19.1684398651123,31.8556652069092,-0.033335980027914,36,37.6,67.9,10.4,0.7,17.8,32
2017-10-24,17.77516746521,19.4125804901123,31.8933334350586,0.138327896595001,36,37.6,67.9,10.4,0.7,17.8,32
2017-10-25,17.5969657897949,19.558385848999,31.5714282989502,0.166593298316002,36,37.6,67.9,10.4,0.7,17.8,32
2017-10-26,17.6171798706055,19.0951290130615,31.7127475738525,0.12180757522583,36,37.6,67.9,10.4,0.7,17.8,32
2017-10-27,18.1289005279541,19.0752353668213,31.841064453125,-0.0845913290977478,36,37.6,67.9,10.4,0.7,17.8,32
2017-10-28,18.3180751800537,19.0202770233154,31.846715927124,-0.0747514590620995,36,37.6,67.9,10.4,0.7,17.8,32
2017-10-29,18.3747043609619,19.0616931915283,31.7263164520264,0.139372810721397,36,37.6,67.9,10.4,0.7,17.8,32
2017-10-30,18.0279445648193,19.0807495117188,31.6543502807617,0.0950824841856956,36,37.6,67.9,10.4,0.7,17.8,32
2017-10-31,18.4378395080566,18.6759414672852,31.87721824646,-0.255925953388214,36,37.6,67.9,10.4,0.7,17.8,32
2017-11-01,18.7553253173828,18.5417194366455,31.9933567047119,-0.132801055908203,36,37.6,67.9,10.4,0.7,17.8,32
2017-11-02,18.6312084197998,18.4150409698486,31.9930934906006,-0.0544709600508213,36,37.6,67.9,10.4,0.7,17.8,32
2017-11-03,18.6699848175049,18.460657119751,31.949836730957,-0.047038946300745,36,37.6,67.9,10.4,0.7,17.8,32
2017-11-04,18.710578918457,18.2781543731689,31.9908695220947,-0.015241620130837,36,37.6,67.9,10.4,0.7,17.8,32
2017-11-05,18.5362987518311,17.9546298980713,31.9762630462646,0.0903854593634605,36,37.6,67.9,10.4,0.7,17.8,32
2017-11-06,18.4209117889404,17.8782634735107,31.8058948516846,0.077072761952877,36,37.6,67.9,10.4,0.7,17.8,32
2017-11-07,18.3018856048584,17.8700542449951,31.8496398925781,0.0871850848197937,36,37.6,67.9,10.4,0.7,17.8,32
2017-11-08,18.4120216369629,17.6769733428955,31.7925033569336,0.228480383753777,36,37.6,67.9,10.4,0.7,17.8,32
2017-11-09,17.4267635345459,17.3790950775146,31.7293319702148,0.216262876987457,36,37.6,67.9,10.4,0.7,17.8,32
2017-11-10,17.3944511413574,17.237283706665,31.7779006958008,0.0558415204286575,36,37.6,67.9,10.4,0.7,17.8,32
2017-11-11,16.9580821990967,16.89599609375,31.8892688751221,-0.0697717145085335,36,37.6,67.9,10.4,0.7,17.8,32
2017-11-12,16.7787342071533,16.753324508667,31.9397735595703,-0.095037005841732,36,37.6,67.9,10.4,0.7,17.8,32
2017-11-13,16.7789154052734,16.6937484741211,31.9613552093506,-0.0238165464252234,36,37.6,67.9,10.4,0.7,17.8,32
2017-11-14,14.8927268981934,15.6404123306274,31.994010925293,0.0117172971367836,36,37.6,67.9,10.4,0.7,17.8,32
2017-11-15,14.81800365448,14.8799476623535,31.9601917266846,0.102117590606213,36,37.6,67.9,10.4,0.7,17.8,32
2017-11-16,14.6798543930054,14.5922021865845,31.9224720001221,0.141409605741501,36,37.6,67.9,10.4,0.7,17.8,32
2017-11-17,15.2632455825806,15.1289672851562,31.9767780303955,-0.090271107852459,36,37.6,67.9,10.4,0.7,17.8,32
2017-11-18,15.1330137252808,15.085865020752,32.0517539978027,-0.0349943302571774,36,37.6,67.9,10.4,0.7,17.8,32
2017-11-19,15.1959533691406,15.1472587585449,32.0684776306152,-0.122433431446552,36,37.6,67.9,10.4,0.7,17.8,32
2017-11-20,15.356936454773,15.1216430664062,32.2107391357422,-0.312245637178421,36,37.6,67.9,10.4,0.7,17.8,32
2017-11-21,15.4123764038086,14.9187860488892,32.310417175293,-0.273896098136902,36,37.6,67.9,10.4,0.7,17.8,32
2017-11-22,15.382007598877,14.8597946166992,32.3362770080566,-0.108839295804501,36,37.6,67.9,10.4,0.7,17.8,32
2017-11-23,15.0645036697388,14.6836738586426,32.6749114990234,-0.110862024128437,36,37.6,67.9,10.4,0.7,17.8,32
2017-11-24,15.0335035324097,14.4650106430054,32.7113265991211,-0.109316743910313,36,37.6,67.9,10.4,0.7,17.8,32
2017-11-25,14.9438924789429,14.3321886062622,32.6947593688965,-0.0292940344661474,36,37.6,67.9,10.4,0.7,17.8,32
2017-11-26,14.3957262039185,14.4948568344116,32.6032791137695,-0.063447467982769,36,37.6,67.9,10.4,0.7,17.8,32
2017-11-27,14.4679040908813,14.1927976608276,32.6542663574219,-0.169744551181793,36,37.6,67.9,10.4,0.7,17.8,32
2017-11-28,14.5444984436035,14.040397644043,32.615177154541,-0.175502195954323,36,37.6,67.9,10.4,0.7,17.8,32
2017-11-29,14.5892457962036,14.0678758621216,32.4339561462402,-0.166768535971642,36,37.6,67.9,10.4,0.7,17.8,32
2017-11-30,14.6213417053223,14.0716161727905,32.5439872741699,-0.13632296025753,36,37.6,67.9,10.4,0.7,17.8,32
2017-12-01,14.6065263748169,14.0703134536743,32.5705032348633,-0.066338837146759,36,37.6,67.9,10.4,0.7,17.8,32
2017-12-02,14.1630516052246,13.8680448532104,32.6942939758301,-0.114855080842972,36,37.6,67.9,10.4,0.7,17.8,32
2017-12-03,14.1160879135132,13.7637023925781,32.6719779968262,-0.127785935997963,36,37.6,67.9,10.4,0.7,17.8,32
2017-12-04,14.090763092041,13.7035446166992,32.7030563354492,-0.137086346745491,36,37.6,67.9,10.4,0.7,17.8,32
2017-12-05,14.2309045791626,14.121335029602,32.7517929077148,-0.0709438174962997,36,37.6,67.9,10.4,0.7,17.8,32
2017-12-06,14.2734603881836,13.5761108398438,32.122875213623,-0.0536139495670795,36,37.6,67.9,10.4,0.7,17.8,32
2017-12-07,14.3109693527222,13.4788274765015,32.3681907653809,-0.112709701061249,36,37.6,67.9,10.4,0.7,17.8,32
2017-12-08,14.1834268569946,12.709677696228,32.3030128479004,-0.0911358892917633,36,37.6,67.9,10.4,0.7,17.8,32
2017-12-09,14.1746435165405,12.7967042922974,32.6006622314453,0.0551122538745403,36,37.6,67.9,10.4,0.7,17.8,32
2017-12-10,14.0900917053223,12.850959777832,32.7811698913574,0.0421554930508137,36,37.6,67.9,10.4,0.7,17.8,32
2017-12-11,14.4524269104004,13.5278701782227,32.7696914672852,-0.167325392365456,36,37.6,67.9,10.4,0.7,17.8,32
2017-12-12,14.5076608657837,13.0511016845703,32.5870628356934,-0.0510012954473495,36,37.6,67.9,10.4,0.7,17.8,32
2017-12-13,14.626293182373,12.7638750076294,32.6709098815918,-0.173390686511993,36,37.6,67.9,10.4,0.7,17.8,32
2017-12-14,13.5347480773926,12.1899757385254,32.7163887023926,-0.320237129926682,36,37.6,67.9,10.4,0.7,17.8,32
2017-12-15,13.4594831466675,11.7296295166016,32.7254753112793,-0.206335142254829,36,37.6,67.9,10.4,0.7,17.8,32
2017-12-16,13.459433555603,11.5461301803589,32.8212852478027,-0.249098882079124,36,37.6,67.9,10.4,0.7,17.8,32
2017-12-17,12.4637041091919,10.8488817214966,32.8534545898438,-0.417973637580872,36,37.6,67.9,10.4,0.7,17.8,32
2017-12-18,12.4628915786743,10.7664108276367,32.8466339111328,-0.218418598175049,36,37.6,67.9,10.4,0.7,17.8,32
2017-12-19,12.4193801879883,10.6701202392578,32.8239593505859,-0.19362610578537,36,37.6,67.9,10.4,0.7,17.8,32
2017-12-20,12.4845533370972,11.564944267273,32.8547897338867,-0.272198170423508,36,37.6,67.9,10.4,0.7,17.8,32
2017-12-21,12.5915107727051,11.6364641189575,32.9456596374512,-0.2407306432724,36,37.6,67.9,10.4,0.7,17.8,32
2017-12-22,12.4682769775391,11.544059753418,32.9472770690918,-0.143065631389618,36,37.6,67.9,10.4,0.7,17.8,32
2017-12-23,11.8266229629517,11.2134428024292,32.8332405090332,-0.0881608203053474,36,37.6,67.9,10.4,0.7,17.8,32
2017-12-24,11.9006757736206,11.0272130966187,32.8458786010742,-0.14098896086216,36,37.6,67.9,10.4,0.7,17.8,32
