Date,Site,sst,bottom_temp,sss,stratification,phase,daylight_hours,year,month,site,device_type,days_monitored,days_present,percent_occurrence,period,dist_200m_km
6/1/17,A7M,19.24144357,10.9581007,31.36809419,0.236667333,0.505235523,14.78768519,2017,Jun,A7M,Archival,33,3,9.090909091,1,67.9
6/1/17,T2M,19.51810716,10.08115107,31.73212477,0.262137669,0.505235523,14.78769444,2017,Jun,T2M,Archival,32,2,6.25,1,55.9
7/1/17,A2M,23.20079114,14.5594392,31.57644992,0.360056331,0.482996561,14.53005376,2017,Jul,A2M,Archival,31,0,0,1,83.3
7/1/17,A7M,24.2636528,11.96452347,32.00421389,0.351403871,0.482996561,14.52329749,2017,Jul,A7M,Archival,31,0,0,1,67.9
7/1/17,T2M,25.02797773,10.23679758,32.22219172,0.410866115,0.482996561,14.52329749,2017,Jul,T2M,Archival,31,0,0,1,55.9
8/1/17,A2M,24.45998296,17.97119178,31.8703948,0.2703663,0.469884268,13.61218638,2017,Aug,A2M,Archival,31,0,0,1,83.3
8/1/17,A7M,24.71326656,13.92201747,32.09522641,0.308320968,0.469884268,13.60804659,2017,Aug,A7M,Archival,31,0,0,1,67.9
8/1/17,T2M,24.54889494,11.76142776,31.9988834,0.355207422,0.469884268,13.60808244,2017,Aug,T2M,Archival,31,0,0,1,55.9
9/1/17,A2M,22.33845037,20.02145246,31.21268266,0.09654158,0.492599582,12.42417593,2017,Sep,A2M,Archival,30,0,0,1,83.3
9/1/17,A7M,22.00440019,16.90373195,31.40882619,0.145733333,0.492599582,12.4232963,2017,Sep,A7M,Archival,30,0,0,1,67.9
9/1/17,T2M,21.67877115,14.9851668,31.65707569,0.185933454,0.492599582,12.42335185,2017,Sep,T2M,Archival,30,0,0,1,55.9
10/1/17,A2M,20.37647555,19.50366039,31.15525966,0.036367298,0.471278569,11.18655914,2017,Oct,A2M,Archival,31,0,0,1,83.3
10/1/17,A7M,20.09765028,18.17509943,31.61532057,0.054930323,0.471278569,11.18900538,2017,Oct,A7M,Archival,31,0,0,1,67.9
10/1/17,T2M,19.76718484,17.28087059,32.04456329,0.069064285,0.471278569,11.1890233,2017,Oct,T2M,Archival,31,0,0,1,55.9
11/1/17,A2M,16.20715539,16.3815014,31.63580496,-0.007264417,0.557835806,10.20065217,2017,Nov,A2M,Archival,23,0,0,1,83.3
11/1/17,A7M,16.49636408,16.71364077,32.01680968,-0.006207143,0.552280897,10.20084524,2017,Nov,A7M,Archival,24,1,4.166666667,1,67.9
11/1/17,T2M,16.72420601,16.88866134,32.39905905,-0.004568204,0.557835806,10.20588164,2017,Nov,T2M,Archival,23,0,0,1,55.9
5/1/21,RTWB,16.78757134,13.44756508,32.27249222,0.087894901,0.595993038,14.59916667,2021,May,RTWB,RealTime,4,0,0,2,67.9
6/1/21,RTWB,20.34734351,13.29224103,32.03274333,0.185660591,0.513543149,14.7875,2021,Jun,RTWB,RealTime,29,1,3.448275862,2,67.9
7/1/21,RTWB,24.01330173,14.47362426,32.41369137,0.251044144,0.538507254,14.52409498,2021,Jul,RTWB,RealTime,31,0,0,2,67.9
8/1/21,RTWB,25.35860142,13.4578224,31.76462721,0.313178395,0.524675645,13.60942652,2021,Aug,RTWB,RealTime,31,0,0,2,67.9
9/1/21,RTWB,23.60865593,14.75641359,31.51109873,0.232953746,0.500722117,12.42487037,2021,Sep,RTWB,RealTime,30,1,3.333333333,2,67.9
10/1/21,RTWB,20.88208888,17.72329918,31.84671064,0.083126045,0.525187045,11.19054659,2021,Oct,RTWB,RealTime,31,0,0,2,67.9
11/1/21,RTWB,16.37021173,16.58793294,33.00204137,-0.005729506,0.497385685,10.10830556,2021,Nov,RTWB,RealTime,30,1,3.333333333,2,67.9
12/1/21,RTWB,12.62038966,13.79484927,33.08689991,-0.030906832,0.524132419,9.547885305,2021,Dec,RTWB,RealTime,31,13,41.93548387,2,67.9
1/1/22,RTWB,9.305920824,9.560624711,33.47164052,-0.006702734,0.494881883,9.833333333,2022,Jan,RTWB,RealTime,30,10,33.33333333,2,67.9
2/1/22,RTWB,6.740433318,6.989052619,33.28233964,-0.006542612,0.475419075,10.77582341,2022,Feb,RTWB,RealTime,28,3,10.71428571,2,67.9
3/1/22,RTWB,8.187238709,8.394924164,32.87608172,-0.005465407,0.497501062,11.95281481,2022,Mar,RTWB,RealTime,30,5,16.66666667,2,67.9
4/1/22,RTWB,9.652673626,8.793674024,32.35290438,0.022605253,0.471464473,13.20344444,2022,Apr,RTWB,RealTime,30,0,0,2,67.9
5/1/22,RTWB,13.08728649,10.07690116,32.15417905,0.079220668,0.472652445,14.25296595,2022,May,RTWB,RealTime,31,0,0,2,67.9
6/1/22,RTWB,20.49372088,11.98592634,31.33503049,0.22388933,0.505365504,14.78619444,2022,Jun,RTWB,RealTime,30,0,0,2,67.9
7/1/22,RTWB,24.56018472,14.91482858,32.39665099,0.253825162,0.476837312,14.52953405,2022,Jul,RTWB,RealTime,35,0,0,2,67.9
8/1/22,RTWB,25.24336144,15.95726096,32.86027921,0.244371065,0.495860694,13.6187724,2022,Aug,RTWB,RealTime,31,2,6.451612903,2,67.9
9/1/22,RTWB,23.7196998,17.18717582,32.76675822,0.171908526,0.492904445,12.43544444,2022,Sep,RTWB,RealTime,30,0,0,2,67.9
