Date,Site,sst,bottom_temp,sss,stratification,phase,daylight_hours,device_type,percent_occurrence,period
3/7/16,A7M,7.881933144,8.200153862,31.44971684,-0.009092143,0.377342557,11.88136905,Archival,79,1
3/7/16,T2M,8.709057944,9.033477068,32.35333661,-0.009011642,0.377342557,11.88138889,Archival,86,1
3/21/16,A2M,7.703421559,7.121631895,31.5807115,0.024241239,0.626022411,12.46380952,Archival,43,1
3/21/16,A7M,7.7712027,7.628490823,32.05360331,0.004077143,0.626022411,12.46269841,Archival,64,1
3/21/16,T2M,8.056229455,8.14582903,32.75569997,-0.002488877,0.626022411,12.46269841,Archival,64,1
4/4/16,A2M,8.894554683,8.712750776,32.78128352,0.007575163,0.397793935,13.0355754,Archival,0,1
4/4/16,A7M,8.936455454,8.880976609,33.02831568,0.001584286,0.397793935,13.03297619,Archival,7,1
4/4/16,T2M,8.962113381,9.080784321,33.16913196,-0.003296415,0.397793935,13.03299603,Archival,14,1
4/18/16,A2M,11.1848466,8.849450384,32.17423562,0.097308176,0.573515936,13.57803571,Archival,0,1
4/18/16,A7M,10.67246464,8.111048392,32.71157646,0.073183571,0.573515936,13.57404762,Archival,0,1
4/18/16,T2M,10.31475326,7.973085097,33.10125678,0.065046338,0.573515936,13.57394841,Archival,0,1
5/2/16,A2M,12.52535302,10.59332091,31.71779864,0.080501338,0.419458924,14.06573413,Archival,0,1
5/2/16,A7M,11.83423553,9.411693914,32.34142698,0.069216429,0.419458924,14.0602381,Archival,0,1
5/2/16,T2M,11.48859256,8.646815777,32.7742988,0.078938244,0.419458924,14.06025794,Archival,0,1
5/16/16,A2M,14.02608844,11.49068901,31.20990276,0.105641643,0.52319621,14.46376984,Archival,0,1
5/16/16,A7M,13.56044626,10.23097862,32.00273091,0.095127857,0.52319621,14.45718254,Archival,0,1
5/16/16,T2M,13.27042014,10.11554909,32.70006289,0.087635307,0.52319621,14.45706349,Archival,0,1
5/30/16,A2M,18.84796374,12.36740214,31.02355453,0.2700234,0.442322148,14.73164683,Archival,0,1
5/30/16,A7M,19.08760834,11.06962599,31.26828671,0.229084286,0.442322148,14.72420635,Archival,0,1
5/30/16,T2M,18.74450275,10.99463885,31.84596729,0.215273997,0.442322148,14.7243254,Archival,0,1
6/13/16,A2M,20.11471203,12.84863452,31.3059548,0.30275323,0.471794349,14.83460317,Archival,0,1
6/13/16,A7M,20.02549321,11.88082395,31.73626409,0.232705,0.471794349,14.82690476,Archival,0,1
6/13/16,T2M,19.79595443,11.80917215,32.07514354,0.221855063,0.471794349,14.8269246,Archival,0,1
6/27/16,A2M,22.90567957,14.90566424,31.1410893,0.333333972,0.534842027,14.75777778,Archival,0,1
6/27/16,A7M,23.21532876,13.82491275,31.20336287,0.268297857,0.534842027,14.75037698,Archival,0,1
6/27/16,T2M,23.13271972,13.27439247,31.49561201,0.273842424,0.534842027,14.7503373,Archival,0,1
7/11/16,A2M,24.45143738,15.01288672,31.25372457,0.393272945,0.305236188,14.59645833,Archival,0,1
7/11/16,A7M,25.0244112,12.85538801,31.38301945,0.347685,0.294675046,14.59685185,Archival,0,1
7/11/16,T2M,25.19884529,11.51090255,31.51545229,0.380220632,0.305236188,14.58951389,Archival,0,1
7/25/16,A2M,25.3589453,15.36618437,31.57982813,0.416365039,0.557753124,14.13642857,Archival,0,1
7/25/16,A7M,26.34282153,13.67384011,31.88885839,0.36197,0.557753124,14.13081349,Archival,0,1
7/25/16,T2M,27.0747851,12.41975859,32.23955045,0.40708407,0.557753124,14.13077381,Archival,0,1
8/8/16,A2M,25.98253754,15.28563029,31.87117931,0.445704469,0.371679271,13.66599206,Archival,0,1
8/8/16,A7M,26.92134871,12.42221832,32.0532574,0.414260714,0.371679271,13.66166667,Archival,0,1
8/8/16,T2M,27.3423654,10.90006978,32.12208612,0.456730434,0.371679271,13.66172619,Archival,0,1
8/22/16,A2M,24.60079561,16.72548376,31.96065494,0.328137994,0.651149937,13.13789683,Archival,0,1
8/22/16,A7M,25.51627227,13.79207407,32.26354054,0.334977143,0.651149937,13.13505952,Archival,0,1
8/22/16,T2M,26.13648088,11.9647274,32.22264917,0.393659819,0.651149937,13.13505952,Archival,0,1
9/5/16,A2M,23.35834721,21.98495143,32.00459222,0.057224824,0.321260723,12.57805556,Archival,0,1
9/5/16,A7M,23.37771498,19.03612927,32.11532961,0.124045,0.321260723,12.57680556,Archival,0,1
9/5/16,T2M,23.14989281,16.06073931,32.32202353,0.19692093,0.321260723,12.57678571,Archival,0,1
9/19/16,A2M,22.45125362,21.10328198,31.81546007,0.056165485,0.672711678,12.0047619,Archival,0,1
9/19/16,A7M,22.24082497,19.01470511,32.14309188,0.092174286,0.672711678,12.00501984,Archival,0,1
9/19/16,T2M,22.09340913,16.59252691,32.4732181,0.152802284,0.672711678,12.00503968,Archival,7,1
10/3/16,A2M,19.91052369,19.54715756,31.77138546,0.015140256,0.269115861,11.43261905,Archival,0,1
10/3/16,A7M,19.8270107,19.16721181,32.27467074,0.018851429,0.269115861,11.43436508,Archival,0,1
10/3/16,T2M,19.3254934,18.19513539,32.87182099,0.031398834,0.269115861,11.43434524,Archival,0,1
10/17/16,A2M,18.49825737,18.51786559,32.05028575,-0.000817009,0.763599661,10.87849206,Archival,0,1
10/17/16,A7M,18.43249702,17.98485293,32.32804244,0.01279,0.763599661,10.88170635,Archival,7,1
10/17/16,T2M,18.43200983,17.14519535,32.83847972,0.035744847,0.763599661,10.88178571,Archival,7,1
10/31/16,A2M,16.69529275,16.77053738,32.40966606,-0.003135193,0.217055227,10.36722222,Archival,0,1
10/31/16,A7M,16.78895194,16.64741053,32.82446044,0.004045,0.217055227,10.3719246,Archival,7,1
10/31/16,T2M,16.89969771,16.33941507,33.10641507,0.015563407,0.217055227,10.37188492,Archival,7,1
11/14/16,A2M,13.78875651,13.86975949,32.51391084,-0.003375127,0.710791251,9.93547619,Archival,14,1
11/14/16,A7M,14.57863631,14.65071079,32.9833949,-0.002058571,0.710791251,9.941468254,Archival,7,1
11/14/16,T2M,15.03588077,15.41393246,33.3777038,-0.010501436,0.710791251,9.941468254,Archival,0,1
11/28/16,A2M,11.55701058,11.76683991,32.54074508,-0.008742889,0.325275028,9.626303419,Archival,31,1
11/28/16,A7M,12.53792726,12.8912594,33.08259517,-0.010095366,0.311668767,9.63604336,Archival,7,1
11/28/16,T2M,13.22798782,13.54579546,33.53727927,-0.00882799,0.311668767,9.63602981,Archival,0,1
12/12/16,A2M,9.282824108,9.506914684,32.52816691,-0.009337107,0.657406926,9.497757937,Archival,36,1
12/12/16,A7M,10.7765208,11.09583977,33.29432923,-0.009123571,0.657406926,9.504980159,Archival,29,1
12/12/16,T2M,11.91528409,12.06795468,33.85349873,-0.00424085,0.657406926,9.504960317,Archival,0,1
12/26/16,A2M,8.303742245,9.046917453,32.78839004,-0.030965636,0.441406906,9.558776042,Archival,64,1
12/26/16,A7M,9.452405602,10.5694404,33.40304863,-0.031914375,0.441406906,9.565833333,Archival,79,1
12/26/16,T2M,10.89564776,11.18264198,34.0747242,-0.007972062,0.778941233,9.547986111,Archival,0,1
1/9/17,A2M,7.016938414,7.823818071,32.49708993,-0.033619986,0.601962671,9.810873016,Archival,29,1
1/9/17,A7M,8.331679651,9.036549228,33.14537539,-0.020138571,0.601962671,9.817123016,Archival,29,1
1/9/17,T2M,9.852298396,9.89677436,33.79385376,-0.001235444,0.601962671,9.817043651,Archival,57,1
1/23/17,A2M,6.414589814,6.956937858,32.45790386,-0.022597835,0.481703258,10.20704365,Archival,7,1
1/23/17,A7M,7.466952631,8.182079826,32.95378467,-0.020432143,0.481703258,10.21214286,Archival,21,1
1/23/17,T2M,8.368871689,9.015867778,33.32191304,-0.017972114,0.481703258,10.21212302,Archival,14,1
2/6/17,A2M,5.47249542,6.130314657,32.63150733,-0.027409135,0.548181993,10.70123016,Archival,0,1
2/6/17,A7M,6.386517014,7.442180634,33.17090198,-0.030162857,0.548181993,10.70505952,Archival,0,1
2/6/17,T2M,7.076062475,8.123788425,33.49435534,-0.029103499,0.548181993,10.70503968,Archival,7,1
2/20/17,A2M,6.572954314,6.030232123,32.79732813,0.022613425,0.499930599,11.25166667,Archival,0,1
2/20/17,A7M,7.048919099,6.401146855,33.24095426,0.018507857,0.499930599,11.25390873,Archival,7,1
2/20/17,T2M,7.382041727,6.898174116,33.55505017,0.013440767,0.499930599,11.25388889,Archival,14,1
3/6/17,A2M,6.531982047,6.572952815,32.98532895,-0.001707116,0.49494656,11.8284127,Archival,14,1
